平均價,新北市_降水量,臺中市_降水量,臺南市_降水量,高雄市_降水量,桃園市_降水量,新竹縣_降水量,苗栗縣_降水量,南投縣_降水量,彰化縣_降水量,雲林縣_降水量,嘉義市_降水量,屏東縣_降水量,宜蘭縣_降水量,花蓮縣_降水量,臺東縣_降水量,color
31.883333333333336,23.0,5.5,0.0,0.0,33.5,33.5,18.5,0.5,2.0,1.5,0.0,0.0,30.1,1.5,0.0,"rgb(72,186,183)"
31.628571428571423,31.5,8.1,0.0,0.0,35.5,31.5,28.5,7.5,6.0,5.0,1.5,0.0,36.4,1.0,0.7000000000000001,"rgb(73,185,182)"
30.585714285714282,1.5,0.4,0.0,0.0,1.0,0.5,0.0,2.0,0.5,0.0,0.0,0.0,0.2,1.0,0.0,"rgb(50,229,205)"
31.8,5.5,15.5,0.0,0.0,23.0,28.5,31.5,10.5,7.0,3.5,1.5,0.0,1.6,1.0,0.0,"rgb(65,177,190)"
33.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(33,205,222)"
31.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(28,199,227)"
32.0875,0.5,0.6,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,"rgb(17,183,238)"
30.328571428571426,3.0,0.7000000000000001,0.0,0.0,0.5,2.5,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.3,"rgb(20,180,235)"
32.6125,20.0,1.3,0.5,0.5,17.0,4.5,1.0,1.5,0.5,1.0,1.0,0.0,4.2,2.0,0.6,"rgb(37,190,218)"
30.757142857142863,6.5,4.5,1.0,0.0,22.5,13.0,21.5,4.5,10.5,32.0,4.5,0.0,3.7,2.5,0.1,"rgb(62,171,193)"
31.4875,8.5,0.1,6.5,0.5,8.5,19.0,6.5,0.5,0.0,3.5,0.2,0.0,2.0,0.5,0.0,"rgb(67,194,188)"
32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,"rgb(52,228,203)"
32.614285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,"rgb(39,207,216)"
34.77777777777778,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.3,"rgb(33,200,222)"
36.5,7.5,18.3,0.0,0.0,15.0,41.5,10.5,15.0,10.5,27.0,4.9,0.0,11.599999999999998,8.5,1.5,"rgb(63,175,192)"
35.80000000000001,2.0,4.8,4.0,5.0,0.5,15.5,0.0,6.5,4.0,2.0,0.5,0.5,0.0,1.5,14.1,"rgb(56,204,199)"
35.0,26.5,13.0,5.5,13.5,14.5,8.5,2.5,46.5,4.5,64.0,15.0,3.0,9.2,6.0,4.6000000000000005,"rgb(63,156,192)"
35.82857142857143,1.0,10.3,0.5,0.5,3.0,0.0,4.0,6.5,5.5,5.0,0.4,0.0,3.5,0.5,1.1,"rgb(51,193,204)"
33.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(35,204,220)"
35.32857142857143,5.0,0.0,0.0,0.0,26.0,13.5,8.5,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,"rgb(35,192,220)"
34.7375,21.5,18.5,1.0,23.5,38.5,24.0,18.0,11.5,13.0,34.5,60.5,78.0,11.0,10.5,42.7,"rgb(59,164,196)"
34.1875,0.0,1.6,5.0,11.0,0.0,0.0,0.0,5.0,0.5,11.5,8.0,0.5,0.0,0.0,0.0,"rgb(51,198,204)"
33.925,0.0,3.0,0.5,0.5,0.5,0.0,3.5,6.0,5.0,10.0,2.4,0.5,0.0,0.0,0.0,"rgb(51,194,204)"
34.2875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,3.1000000000000005,1.0,0.0,"rgb(44,211,211)"
33.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,4.0,0.0,0.5,6.5,6.0,15.8,"rgb(42,213,213)"
36.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,8.0,58.0,191.0,"rgb(41,159,214)"
34.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.5,5.5,"rgb(36,205,219)"
34.912499999999994,4.5,0.4,0.0,0.0,0.0,0.0,0.5,9.0,0.0,0.0,0.0,0.0,0.0,1.5,4.3,"rgb(35,200,220)"
33.21111111111111,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.5,"rgb(28,196,227)"
34.225,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,"rgb(29,181,226)"
36.06666666666667,52.0,33.4,0.0,0.0,194.5,88.5,91.0,39.0,8.5,38.0,10.0,0.0,25.4,13.5,0.0,"rgb(70,169,185)"
32.849999999999994,49.0,13.5,12.5,2.0,44.0,45.5,33.5,34.0,33.0,20.5,10.0,10.0,49.5,8.0,3.1000000000000005,"rgb(69,170,186)"
32.5,1.0,17.6,7.0,2.0,0.5,5.5,5.5,22.5,28.0,18.5,19.6,32.5,10.6,0.5,0.0,"rgb(35,146,220)"
33.7875,0.0,0.1,0.0,0.0,0.0,0.0,0.0,46.0,0.0,16.0,0.0,0.0,0.0,54.0,4.5,"rgb(35,164,220)"
33.45,14.0,0.2,0.0,0.0,12.0,7.5,7.0,3.0,0.0,1.5,0.0,0.0,5.4,1.0,0.0,"rgb(29,183,226)"
33.4875,0.5,3.8,9.0,9.0,4.0,1.5,1.5,8.5,5.5,9.0,13.0,21.0,0.6,3.5,11.3,"rgb(32,147,223)"
31.5125,9.0,73.8,83.0,32.0,47.0,18.0,15.5,78.5,66.0,111.5,55.5,64.0,10.1,15.0,26.2,"rgb(69,156,186)"
32.175,0.5,0.7999999999999999,58.5,183.5,0.0,0.0,4.0,0.0,2.5,6.0,0.0,17.0,0.0,0.5,0.0,"rgb(42,150,213)"
32.56666666666666,0.0,55.10000000000001,10.5,3.0,1.5,0.5,1.5,67.5,43.0,102.5,41.0,10.0,0.0,3.5,0.5,"rgb(66,154,189)"
31.0,36.0,59.8,33.0,24.5,43.5,35.5,68.0,46.0,46.5,49.5,50.6,8.0,1.1,8.5,5.3,"rgb(68,164,187)"
31.175,49.0,49.3,14.5,26.0,12.0,35.0,55.0,74.0,25.0,146.0,97.5,29.0,25.0,4.0,5.3,"rgb(66,156,189)"
31.08888888888889,50.5,10.4,6.0,30.5,35.5,46.5,43.0,9.5,2.0,35.5,2.5,13.5,10.0,3.0,0.0,"rgb(66,171,189)"
31.444444444444446,6.5,15.0,0.5,0.5,1.0,0.5,0.0,13.5,13.0,13.0,4.0,2.0,35.30000000000001,0.5,0.1,"rgb(32,173,223)"
30.885714285714283,2.5,0.0,0.0,0.0,0.0,3.0,5.5,0.0,0.0,2.5,0.0,0.0,14.8,44.5,4.2,"rgb(34,167,221)"
31.014285714285712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,3.5,0.0,0.0,0.1,10.0,0.5,"rgb(22,171,233)"
29.45555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,40.5,2.1,0.0,0.0,0.0,0.1,"rgb(22,155,233)"
30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(25,176,230)"
28.33,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"rgb(17,163,238)"
26.722222222222218,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,"rgb(24,174,231)"
24.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,9.0,0.0,"rgb(20,165,235)"
24.422222222222228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"rgb(15,160,240)"
22.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(9,156,246)"
