平均價,新北市_降水量,臺中市_降水量,臺南市_降水量,高雄市_降水量,桃園市_降水量,新竹縣_降水量,苗栗縣_降水量,南投縣_降水量,彰化縣_降水量,雲林縣_降水量,嘉義市_降水量,屏東縣_降水量,宜蘭縣_降水量,花蓮縣_降水量,臺東縣_降水量,color,x,y
24.855555555555558,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9000000000000001,4.5,3.7,"rgb(22,210,233)",45,233
25.366666666666664,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,"rgb(16,198,239)",57,239
25.06666666666667,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,"rgb(13,197,242)",58,242
21.6,15.5,13.0,0.0,0.0,12.0,24.0,31.5,1.5,8.5,8.0,0.0,0.0,7.2,1.0,1.0,"rgb(33,186,222)",69,222
24.93333333333333,26.5,5.0,0.0,9.0,27.0,35.0,40.5,4.0,5.0,31.5,0.2,0.0,8.200000000000001,2.0,2.0,"rgb(34,186,221)",69,221
24.69,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,"rgb(14,205,241)",50,241
23.52222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.1,"rgb(19,206,236)",49,236
23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.2,4.5,0.0,"rgb(14,208,241)",47,241
25.511111111111113,36.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.9,8.0,5.6000000000000005,"rgb(26,195,229)",60,229
26.155555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"rgb(15,210,240)",45,240
23.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.5,0.0,29.1,1.7,35.0,26.5,"rgb(22,204,233)",51,233
24.920000000000005,45.5,67.60000000000001,53.0,8.5,14.5,75.0,64.0,19.0,19.5,3.0,11.7,0.0,3.3999999999999995,0.5,0.5999999999999999,"rgb(36,182,219)",73,219
25.744444444444447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,49.5,0.0,0.0,0.0,0.0,0.0,"rgb(18,184,237)",71,237
24.95555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(16,213,239)",42,239
25.23333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,"rgb(11,203,244)",52,244
25.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(8,203,247)",52,247
24.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(11,204,244)",51,244
22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(3,191,252)",64,252
25.3375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"rgb(3,190,252)",65,252
24.5625,45.5,115.0,22.5,0.0,105.5,65.0,76.0,34.5,138.5,16.0,46.60000000000001,0.0,41.2,0.0,0.0,"rgb(36,179,219)",76,219
23.444444444444446,3.0,7.399999999999999,29.5,27.0,1.0,1.0,1.0,7.0,8.0,7.0,8.200000000000001,10.5,6.1000000000000005,12.0,6.200000000000001,"rgb(24,177,231)",78,231
23.455555555555566,9.5,44.5,24.5,44.5,19.0,17.5,27.0,38.0,39.5,10.5,14.599999999999998,41.0,4.4,2.0,8.200000000000001,"rgb(30,178,225)",77,225
23.04,23.0,42.2,43.5,48.5,29.5,57.5,82.5,12.0,6.0,34.5,8.799999999999997,59.5,23.4,9.0,8.5,"rgb(34,180,221)",75,221
23.0,9.0,113.79999999999998,90.5,32.0,84.5,37.5,52.5,134.0,99.5,195.5,206.3,38.7,5.0,33.0,26.800000000000004,"rgb(33,175,222)",80,222
22.0,1.0,6.9,19.0,62.0,2.0,5.0,5.5,7.0,2.5,42.0,19.6,142.0,0.6,38.0,78.0,"rgb(21,178,234)",77,234
22.9,9.5,92.0,12.5,35.0,5.0,44.0,47.0,126.0,55.0,39.5,18.1,59.5,17.7,8.5,3.6000000000000005,"rgb(32,178,223)",77,223
23.06666666666667,0.0,16.5,0.0,5.5,0.0,0.5,7.0,30.5,3.5,9.5,0.5,11.5,1.3,0.5,1.0,"rgb(19,189,236)",66,236
23.68888888888889,0.0,106.70000000000002,35.0,12.5,0.0,0.0,6.0,12.5,23.5,2.0,1.0,0.0,0.0,0.0,0.0,"rgb(27,181,228)",74,228
23.07,9.0,0.9000000000000001,0.0,0.0,0.0,0.0,0.0,1.5,9.0,10.5,12.0,0.0,0.1,0.0,0.0,"rgb(13,187,242)",68,242
24.18888888888889,0.0,3.8,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.3,0.0,5.1000000000000005,0.0,0.0,"rgb(2,187,253)",68,253
24.655555555555555,0.0,26.7,2.0,16.0,4.5,11.5,32.0,39.5,75.5,46.5,57.60000000000001,0.0,35.1,18.5,3.0,"rgb(30,176,225)",79,225
19.3,0.5,4.0,0.0,0.0,0.5,2.0,1.5,0.5,2.0,0.0,0.1,0.0,0.5,0.0,0.0,"rgb(11,203,244)",52,244
24.53333333333333,13.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,"rgb(19,184,236)",71,236
24.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"rgb(5,196,250)",59,250
24.011111111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"rgb(10,204,245)",51,245
23.922222222222217,9.5,0.4,0.0,0.0,0.5,0.0,0.0,2.5,3.0,4.5,0.0,0.0,2.3000000000000003,0.0,0.0,"rgb(11,189,244)",66,244
23.59,14.0,4.700000000000001,0.0,0.0,1.5,2.0,5.0,5.0,71.0,1.0,16.099999999999998,0.0,4.799999999999999,2.0,0.0,"rgb(15,188,240)",67,240
23.2,47.0,0.0,0.0,0.0,0.5,0.0,0.0,20.5,1.0,0.0,0.0,0.0,1.0,0.0,0.2,"rgb(23,193,232)",62,232
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(5,194,250)",61,250
23.08888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(4,190,251)",65,251
22.770000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(5,191,250)",64,250
22.655555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(3,191,252)",64,252
22.511111111111113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"rgb(5,195,250)",60,250
